AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30,Label
124,57,111,-1079,2216,638,49,12,70,-31,311,88,24,-6,36,258,-315,-163,11,-4,8,233,-428,-232,6,0,1,152,-404,9,-18,-8,-25,333,-865,-283,-12,-1,-30,96,-545,-247,-5,8,-27,-17,-221,-143,1,4,-11,-104,-61,-25,0,0,-7,-104,9,24,0,-1,-1,-109,44,90,-4,-1,-5,-60,91,16,-6,-2,0,-131,123,50,-10,3,-5,-54,162,23,-10,2,-4,-56,222,90,-11,2,-6,12,276,74,-8,1,-1,-30,266,112,-7,1,0,2,271,77,-3,-1,5,-22,254,169,4,0,9,36,191,63,7,-3,9,-4,113,124,8,-3,7,35,86,24,8,-3,5,28,34,17,5,-1,3,5,5,-9,1,-2,0,-10,-14,-6,0,0,1,-6,-25,-13,0,0,0,-6,-29,-2,0,0,0,-24,-13,14,1,0,0,17,-10,-12,1,0,-1,-5,-7,29,left
-28,79,-142,708,2686,1090,9,28,-58,271,1867,807,27,3,-17,-43,1379,695,31,-5,-13,-194,1056,517,33,-11,0,-282,758,433,40,-10,45,-345,-4,-43,20,-9,41,-267,-520,-137,1,6,32,37,-861,-327,-18,6,17,357,-1015,-439,-28,11,5,392,-967,-496,-28,-5,-9,375,-770,-301,-17,-4,-12,345,-493,-284,-10,-10,-15,119,-253,-284,2,-4,0,-104,-127,-71,5,-1,1,-49,-122,-121,4,-3,-1,-175,-105,-51,2,1,-1,-212,-76,12,0,0,-2,-190,-47,60,-3,0,-3,-169,-13,53,-6,0,-4,-94,47,62,-5,3,-4,-15,95,28,-4,0,-1,-20,105,29,0,3,1,87,76,16,0,-2,-2,8,50,-10,-1,2,-1,-22,41,-25,-1,4,-6,-91,70,76,-3,9,-9,-27,126,35,-6,5,-11,-37,192,155,-7,8,-5,47,247,101,-1,1,-3,76,267,143,left
132,5,101,-1480,2442,1061,65,12,70,-397,570,202,33,8,54,-17,-105,-73,8,4,18,262,-258,-197,1,-3,8,108,-230,188,-25,-3,-8,447,-724,-389,-24,-12,-15,326,-468,-294,-19,-11,-22,133,-186,-288,-1,-15,0,-134,-60,-47,4,-1,3,-66,-54,-44,6,-8,3,-112,-71,-67,4,-1,-1,-206,-85,-12,7,-4,5,-168,-91,-26,0,2,-3,-164,-75,29,1,-3,-1,-144,-53,-38,-3,3,-8,-186,-25,40,-3,5,-4,-124,10,-9,-7,9,-10,-113,53,54,-4,11,-8,-44,82,20,-5,13,-13,6,148,93,-3,15,-10,40,207,147,-3,9,-9,116,248,156,-1,4,-5,119,255,174,0,-1,0,132,251,133,0,-6,5,82,181,163,1,-9,5,103,107,81,3,-8,5,45,49,57,3,-5,2,21,16,-41,3,-2,2,0,-12,18,1,-1,1,-7,-17,-47,left
99,30,144,-149,1228,306,32,-12,57,174,-138,-132,-3,0,9,278,-316,-229,-4,-3,3,126,-262,-185,-3,0,3,129,-198,9,-24,-6,-24,142,-425,-252,-10,2,-11,55,-158,-202,3,-6,3,-85,-89,-59,9,-4,7,-56,-121,-88,8,-7,2,-136,-167,-18,12,0,1,-157,-203,-54,2,0,-6,-214,-144,-40,5,8,-3,-121,-54,-37,-2,8,-9,-107,28,6,-2,10,-4,-41,84,-22,-4,3,-8,-56,126,79,-4,8,-6,-54,116,52,-6,2,-10,-86,115,158,-4,7,-4,-30,114,149,-5,4,-6,43,145,170,-7,2,-2,110,166,162,-5,-1,-2,155,187,136,-4,-3,0,135,186,107,0,-5,3,113,173,34,0,-5,3,14,134,49,3,-3,5,-15,85,46,3,-1,4,-12,47,9,4,0,5,0,38,7,2,0,1,5,20,-22,1,-1,0,5,12,23,left
-47,73,-134,390,1721,1076,-2,31,-60,341,1556,684,12,7,-31,149,1323,669,24,-1,-2,-28,1056,549,23,-10,0,-98,802,555,43,-26,43,-266,288,-15,23,-11,34,-281,-196,-32,16,-5,32,-156,-595,-273,-8,5,13,14,-828,-354,-15,8,9,150,-895,-462,-32,11,-14,237,-769,-363,-18,-4,-5,193,-573,-279,-17,0,-6,175,-387,-174,-2,-9,0,137,-253,-184,1,-4,0,26,-207,-153,9,-5,7,-15,-210,-83,6,-2,2,-9,-232,-113,2,-7,-1,-182,-195,-100,0,3,-2,-202,-136,-51,-4,2,-2,-186,-73,17,-6,-2,-1,-155,-13,-34,-5,3,0,-132,50,8,0,7,0,-54,87,-36,-5,3,-8,-46,86,6,-3,7,-12,-115,99,75,-4,14,-17,-39,130,97,-4,7,-16,-33,166,176,-9,6,-14,39,198,129,-4,3,-4,81,238,260,-3,1,1,226,258,123,left
-23,85,-130,816,2300,1465,-7,21,-59,217,1864,988,19,-18,6,179,1484,644,20,-15,4,108,1087,477,31,-26,17,-97,737,532,30,-27,38,-334,127,35,30,-13,39,-258,-343,-297,9,10,12,-144,-711,-335,5,9,21,-21,-935,-355,-19,19,-4,164,-967,-453,-15,2,0,239,-882,-362,-21,-2,-4,289,-717,-273,-15,-7,-6,87,-486,-186,-18,-1,-13,-50,-214,-105,-9,1,-3,-88,-19,47,-7,1,1,-84,77,-5,-5,0,1,-137,119,58,-5,-2,3,-93,121,30,-4,-4,1,-18,112,32,-2,-5,3,-45,79,-22,-2,-1,0,-17,43,-52,0,0,-1,-23,18,-23,2,7,-3,-17,-1,-60,1,0,0,11,-41,27,0,0,-4,-15,-40,11,-2,1,-3,-77,-9,12,-4,4,-5,-60,20,99,-4,1,-4,-60,63,10,-2,8,-7,-73,130,95,0,8,-4,35,168,51,left
146,-53,26,-299,3961,2212,60,-34,17,-234,1634,847,47,-20,30,-231,785,353,29,-6,26,46,258,60,22,-11,25,115,-89,473,-10,0,11,226,-1059,-603,-10,3,2,207,-1008,-541,-18,6,-14,197,-840,-486,-13,-1,-15,-12,-558,-271,-16,8,-23,-173,-207,-126,-12,11,-11,-234,-3,24,-10,9,-7,-119,131,144,-7,2,0,-118,172,132,-8,5,-2,-1,178,194,-4,-1,3,84,134,126,-5,-3,0,78,121,32,-3,-5,1,8,84,86,-4,-1,-1,41,65,-5,-2,-3,1,-15,48,1,-2,0,-2,-51,43,6,-3,1,-4,-40,63,-6,-3,6,-3,-41,85,38,-1,6,-3,17,114,-1,-2,4,-6,-12,137,76,0,5,-1,57,154,35,2,1,1,57,130,75,4,0,2,67,94,40,2,-3,1,31,57,76,2,-1,3,35,37,17,1,-2,-1,11,11,21,left
-72,99,-120,541,1519,941,-23,55,-66,638,1603,672,0,14,-46,481,1515,707,32,-17,-9,-1,1219,664,40,-12,2,47,854,552,55,-42,37,-257,288,68,42,-22,43,-365,-323,-66,23,-14,43,-317,-832,-194,-7,9,20,35,-1054,-545,-27,4,6,-30,-1045,-481,-28,16,-2,179,-855,-536,-20,-6,-6,160,-618,-380,-16,1,-8,72,-416,-251,-7,-1,-4,-58,-284,-114,-5,5,-2,-30,-171,-21,-7,0,-3,-82,-78,15,-9,3,0,-98,-14,29,-5,-1,3,-74,35,136,-9,-2,0,-23,76,34,-4,-7,2,-15,81,-47,-4,-3,-1,-49,81,-55,-3,0,-5,-77,45,-71,-1,7,-9,-116,47,-34,-2,13,-11,-92,61,-36,-4,14,-15,-59,103,82,-2,15,-11,43,143,81,-3,6,-9,114,197,148,-5,0,-5,108,229,159,-2,-4,1,129,214,104,-1,-3,4,65,176,122,left
148,-56,38,735,3709,2344,67,-40,2,-155,1768,1160,64,-31,43,-106,860,486,31,-14,26,-159,356,203,26,-8,30,41,38,481,-15,0,6,-58,-849,-397,-13,5,14,129,-899,-647,-28,9,-12,155,-749,-464,-16,0,-10,169,-524,-419,-15,4,-15,2,-274,-280,-5,4,-2,-70,-115,-91,-2,4,0,-106,-36,-70,1,3,2,-56,-11,17,2,2,4,-95,-28,49,-1,-3,-2,-98,-41,54,0,-1,2,-54,-78,115,-4,-3,-4,-41,-79,-10,-7,-1,-9,-116,-37,62,-6,0,-7,-102,-3,23,-7,6,-10,-48,41,-15,-7,7,-11,-2,100,30,-6,10,-10,27,141,-23,-4,8,-5,67,148,66,-5,10,-8,112,173,49,-3,3,-1,78,180,53,-2,1,0,39,163,118,0,-1,2,46,147,55,1,0,2,20,122,74,3,-1,3,50,93,76,4,-1,1,46,48,43,left
-25,130,-87,1010,1052,925,-28,33,-67,438,1159,833,-1,2,-30,62,1163,706,10,-6,-18,29,1060,560,20,-12,-3,-145,871,499,37,-34,30,-320,596,241,41,-24,35,-440,141,-44,35,-2,40,-106,-391,-388,13,6,28,-66,-877,-381,-8,9,7,271,-1071,-522,-24,4,-10,167,-1076,-424,-20,7,0,380,-910,-494,-26,-4,-16,201,-635,-209,-13,-10,-5,112,-320,-226,-4,-2,1,-79,-153,-55,-1,-2,5,-50,-89,-58,-7,-2,-3,-154,-38,-55,-6,-2,0,-210,9,20,-10,4,-6,-101,63,20,-9,-3,-2,-194,108,87,-8,5,-4,-44,143,18,-5,1,-2,-10,149,47,-6,3,-4,-8,124,-28,0,3,-1,-43,126,82,0,8,-6,60,115,-9,1,6,-8,-77,135,79,2,12,-4,36,158,127,2,7,-4,65,187,114,1,2,0,93,173,120,2,-2,3,89,143,145,left
124,-94,-4,-894,3721,2037,96,3,45,-466,1438,594,41,-9,30,-118,471,132,26,12,19,-43,83,-7,17,2,13,98,-104,489,-12,19,10,215,-960,-530,-26,-3,-7,288,-887,-473,-15,4,-10,190,-664,-265,-14,-12,-9,154,-473,-256,-15,-8,-10,-108,-276,-54,-11,-1,-4,-42,-134,-83,-14,-3,-6,-119,-3,9,-14,2,-5,-120,114,-5,-9,0,-1,-85,154,95,-8,0,0,1,137,46,-6,-7,0,-25,109,21,-4,0,0,-29,76,12,-2,-8,2,-124,29,19,-5,7,-1,-145,47,14,-5,7,-7,-72,82,19,-4,16,-9,-69,158,35,-3,10,-9,53,213,110,-2,9,-6,105,238,83,1,-2,-1,116,206,79,3,0,5,65,163,138,3,-7,4,96,89,21,4,-5,6,-12,29,76,3,-2,4,7,0,-7,1,0,-1,-5,-2,34,1,0,0,9,-1,-16,left
150,-49,11,-704,3783,1910,98,-28,35,-425,1473,646,61,-9,46,-16,279,115,25,5,24,52,-124,-21,16,-2,15,100,-209,411,-18,7,9,208,-991,-429,-26,9,0,281,-867,-492,-28,2,-20,56,-478,-208,-9,-8,-13,20,-226,-191,-7,-2,-10,-118,-120,-37,-3,2,-5,-36,-88,-45,-6,-1,-8,-108,-38,23,-5,0,-5,-176,18,13,-7,3,-1,-167,42,99,-9,3,-7,22,80,-16,-7,-4,-6,-68,97,-24,-10,1,-11,-72,118,85,-4,2,-7,-87,103,64,-5,7,-8,115,108,-72,-1,2,-6,9,113,17,-3,8,-6,-48,131,38,1,8,-1,85,143,167,0,5,0,203,166,-38,2,-1,0,10,167,51,3,1,5,-17,130,154,3,-1,3,88,98,0,4,-3,5,-22,50,92,4,-1,3,19,14,15,2,-3,0,-12,7,36,2,-1,1,15,16,-9,left
132,-1,86,-1774,2385,1409,68,1,59,-282,588,190,29,12,29,-87,-11,-49,17,4,21,247,-240,-207,6,-6,8,103,-272,300,-20,-1,-8,491,-784,-585,-22,-5,-17,202,-551,-232,-13,-11,-10,99,-290,-255,-10,-6,-9,-173,-84,7,-3,2,1,-104,10,18,-1,-3,1,-115,57,61,0,-2,1,-123,76,58,-1,-1,3,-70,54,43,0,-2,2,-28,22,48,-1,-1,0,-85,16,12,-3,0,-3,-64,1,48,-4,1,0,-68,24,49,-5,4,-6,-72,54,-5,-3,6,-2,-14,94,93,-4,3,-5,73,110,-11,0,2,0,32,118,49,0,2,-2,44,109,31,1,0,0,54,101,24,-1,0,-3,-30,97,66,0,3,0,-20,91,47,-1,2,-1,-11,108,71,0,2,1,41,86,75,1,-1,1,20,70,62,2,-1,2,33,50,50,3,-3,2,17,27,27,left
148,-22,41,-671,3300,1662,58,-22,11,-564,1199,552,38,1,29,-115,427,108,24,-3,15,33,14,-59,15,-3,7,77,-188,285,-14,0,-1,228,-966,-525,-12,9,-3,345,-841,-542,-11,-3,-14,143,-649,-343,-11,4,-12,29,-399,-241,-7,1,-5,-79,-186,-92,-8,6,-5,-96,-32,0,-7,-5,-1,-172,47,90,-8,0,-1,-153,110,102,-6,-2,-1,-88,137,116,-7,-2,-2,-133,126,67,-6,1,-3,-27,113,48,-4,3,-5,3,121,40,-4,3,-6,-66,117,20,-4,7,-4,-57,120,161,-3,8,-8,20,162,47,-3,3,-6,-20,170,113,-3,6,-1,47,171,199,-1,1,0,150,146,59,1,-4,1,83,124,110,2,-2,4,114,87,10,3,-5,3,48,55,33,3,-2,2,2,26,-9,2,-2,0,0,23,-20,1,0,0,-4,5,-24,0,0,0,-3,-5,11,left
141,-12,82,-800,1974,808,53,5,25,-293,327,92,26,23,25,34,-77,-87,4,-3,3,140,-159,-134,6,-2,8,52,-198,173,-20,0,-6,266,-662,-348,-14,-6,-3,240,-435,-266,-8,-16,-7,32,-295,-194,4,1,4,-2,-246,-73,-3,-2,-4,-78,-164,-41,-3,3,-2,-98,-79,-45,-7,2,-2,-148,6,69,-11,1,-8,-247,97,65,-9,5,0,-152,150,187,-7,1,-3,101,139,34,-6,-5,-5,-6,138,-7,-1,-1,-1,52,99,92,2,-4,1,147,45,-40,0,-3,-7,-26,46,-79,0,1,-6,-207,82,65,0,9,-8,-157,114,9,0,10,-5,-76,143,95,-2,11,-5,49,171,79,-1,3,-3,75,171,110,1,4,3,150,143,93,0,-3,3,175,102,54,1,-6,0,58,60,43,4,-4,4,14,33,29,3,-3,1,0,4,11,2,-1,0,-17,-8,14,left
149,-26,61,-1321,3496,2113,69,-9,38,-192,1190,570,43,0,35,-274,396,184,31,8,36,40,-30,-42,8,-1,10,154,-165,495,-24,0,-1,331,-902,-642,-20,0,-3,222,-716,-399,-20,-7,-12,289,-501,-392,-18,-13,-18,70,-253,-286,-4,-6,-1,-118,-120,-78,-1,0,0,-57,-112,-98,-6,-2,-4,-157,-77,9,-5,0,0,-222,-33,50,-3,2,0,-97,3,88,-3,0,2,-84,38,92,-2,-1,1,-47,80,2,1,2,3,-100,73,114,0,6,-2,64,66,-92,-2,2,-9,-164,45,75,-3,11,-12,-27,68,9,-5,8,-13,0,122,121,-6,8,-12,70,192,36,-5,3,-6,49,206,228,-4,1,1,154,230,90,-1,-5,3,80,190,92,1,-3,7,49,117,101,4,-5,8,34,59,42,4,-1,4,-3,27,26,4,0,2,13,4,-2,4,0,1,11,6,-10,left
